X;Y;ANGLE;
224;13;133;
224;14;133;
225;0;133;
225;1;133;
225;2;133;
225;3;133;
225;4;133;
225;5;133;
225;6;133;
225;7;133;
225;8;133;
225;9;133;
225;10;133;
225;11;133;
225;12;133;
225;13;133;
226;0;133;
226;1;133;
226;2;133;
226;3;133;
226;4;133;
226;5;133;
226;6;133;
226;7;133;
226;8;133;
226;9;133;
226;10;133;
226;11;133;
226;12;133;
226;13;133;
227;0;133;
227;1;133;
227;2;133;
227;3;133;
227;4;133;
227;5;133;
227;6;133;
227;7;133;
227;8;133;
227;9;133;
227;10;133;
227;11;133;
227;12;133;
228;0;133;
228;1;133;
228;2;133;
228;3;133;
228;4;133;
228;5;133;
228;6;133;
228;7;133;
228;8;133;
228;9;133;
228;10;133;
228;11;133;
229;0;133;
229;1;133;
229;2;133;
229;3;133;
229;4;133;
229;5;133;
229;6;133;
229;7;133;
229;8;133;
229;9;133;
229;10;133;
230;0;133;
230;1;133;
230;2;133;
230;3;133;
230;4;133;
230;5;133;
230;6;133;
230;7;133;
230;8;133;
230;9;133;
231;0;133;
231;1;133;
231;2;133;
231;3;133;
231;4;133;
231;5;133;
231;6;133;
231;7;133;
231;8;133;
232;0;133;
232;1;133;
232;2;133;
232;3;133;
232;4;133;
232;5;133;
232;6;133;
232;7;133;
233;0;133;
233;1;133;
233;2;133;
233;3;133;
233;4;133;
233;5;133;
233;6;133;
234;0;133;
234;1;133;
234;2;133;
234;3;133;
234;4;133;
234;5;133;
235;0;133;
235;1;133;
235;2;133;
235;3;133;
235;4;133;
236;0;133;
236;1;133;
236;2;133;
236;3;133;
237;0;133;
237;1;133;
237;2;133;
238;0;133;
238;1;133;
239;0;133;
120;7;134;
121;7;134;
121;8;134;
122;7;134;
122;8;134;
122;9;134;
123;7;134;
123;8;134;
123;9;134;
124;7;134;
124;8;134;
124;9;134;
124;10;134;
125;6;134;
125;7;134;
125;8;134;
125;9;134;
125;10;134;
125;11;134;
126;6;134;
126;7;134;
126;8;134;
126;9;134;
126;10;134;
126;11;134;
126;12;134;
127;6;134;
127;7;134;
127;8;134;
127;9;134;
127;10;134;
127;11;134;
127;12;134;
128;6;134;
128;7;134;
128;8;134;
128;9;134;
128;10;134;
128;11;134;
128;12;134;
128;13;134;
129;6;134;
129;7;134;
129;8;134;
129;9;134;
129;10;134;
129;11;134;
129;12;134;
129;13;134;
129;14;134;
130;6;134;
130;7;134;
130;8;134;
130;9;134;
130;10;134;
130;11;134;
130;12;134;
130;13;134;
130;14;134;
131;5;134;
131;6;134;
131;7;134;
131;8;134;
131;9;134;
131;10;134;
131;11;134;
131;12;134;
131;13;134;
131;14;134;
131;15;134;
132;5;134;
132;6;134;
132;7;134;
132;8;134;
132;9;134;
132;10;134;
132;11;134;
132;12;134;
132;13;134;
132;14;134;
132;15;134;
132;16;134;
133;5;134;
133;6;134;
133;7;134;
133;8;134;
133;9;134;
133;10;134;
133;11;134;
133;12;134;
133;13;134;
133;14;134;
133;15;134;
133;16;134;
134;5;134;
134;6;134;
134;7;134;
134;8;134;
134;9;134;
134;10;134;
134;11;134;
134;12;134;
134;13;134;
134;14;134;
134;15;134;
134;16;134;
134;17;134;
135;4;134;
135;5;134;
135;6;134;
135;7;134;
135;8;134;
135;9;134;
135;10;134;
135;11;134;
135;12;134;
135;13;134;
135;14;134;
135;15;134;
135;16;134;
135;17;134;
136;4;134;
136;5;134;
136;6;134;
136;7;134;
136;8;134;
136;9;134;
136;10;134;
136;11;134;
136;12;134;
136;13;134;
136;14;134;
136;15;134;
136;16;134;
136;17;134;
136;18;134;
137;4;134;
137;5;134;
137;6;134;
137;7;134;
137;8;134;
137;9;134;
137;10;134;
137;11;134;
137;12;134;
137;13;134;
137;14;134;
