X;Y;ANGLE;
260;116;53;
260;117;53;
260;118;53;
260;119;53;
260;120;53;
260;121;53;
260;122;53;
260;123;53;
260;124;53;
260;125;53;
260;126;53;
260;127;53;
260;128;53;
260;129;53;
260;130;53;
260;131;53;
260;132;53;
260;133;53;
260;134;53;
260;135;53;
260;136;53;
260;137;53;
260;138;53;
260;139;53;
260;140;53;
260;141;53;
260;142;53;
260;143;53;
260;144;53;
260;145;53;
260;146;53;
260;147;53;
260;148;53;
260;149;53;
260;150;53;
260;151;53;
260;152;53;
260;153;53;
260;154;53;
260;155;53;
260;156;53;
260;157;53;
260;158;53;
260;159;53;
260;160;53;
260;161;53;
260;162;53;
260;163;53;
260;164;53;
260;165;53;
260;166;53;
260;167;53;
260;168;53;
260;169;53;
260;170;53;
260;171;53;
260;172;53;
260;173;53;
260;174;53;
260;175;53;
260;176;53;
260;177;53;
261;31;53;
261;32;53;
261;33;53;
261;34;53;
261;35;53;
261;36;53;
261;37;53;
261;38;53;
261;39;53;
261;40;53;
261;41;53;
261;42;53;
261;43;53;
261;44;53;
261;45;53;
261;46;53;
261;47;53;
261;48;53;
261;49;53;
261;50;53;
261;51;53;
261;52;53;
261;53;53;
261;54;53;
261;55;53;
261;56;53;
261;57;53;
261;58;53;
261;59;53;
261;60;53;
261;61;53;
261;62;53;
261;63;53;
261;64;53;
261;65;53;
261;66;53;
261;67;53;
261;68;53;
261;69;53;
261;70;53;
261;71;53;
261;72;53;
261;73;53;
261;74;53;
261;75;53;
261;76;53;
261;77;53;
261;78;53;
261;79;53;
261;80;53;
261;81;53;
261;82;53;
261;83;53;
261;84;53;
261;85;53;
261;86;53;
261;87;53;
261;88;53;
261;89;53;
261;90;53;
261;91;53;
261;92;53;
261;93;53;
261;94;53;
261;95;53;
261;96;53;
261;97;53;
261;98;53;
261;99;53;
261;100;53;
261;101;53;
261;102;53;
261;103;53;
261;104;53;
261;105;53;
261;106;53;
261;107;53;
261;108;53;
261;109;53;
261;110;53;
261;111;53;
261;112;53;
261;113;53;
261;114;53;
261;115;53;
261;116;53;
261;117;53;
261;118;53;
261;119;53;
261;120;53;
261;121;53;
261;122;53;
261;123;53;
261;124;53;
261;125;53;
261;126;53;
261;127;53;
261;128;53;
261;129;53;
261;130;53;
261;131;53;
261;132;53;
261;133;53;
261;134;53;
261;135;53;
261;136;53;
261;137;53;
261;138;53;
261;139;53;
261;140;53;
261;141;53;
261;142;53;
261;143;53;
261;144;53;
261;145;53;
261;146;53;
261;147;53;
261;148;53;
261;149;53;
261;150;53;
261;151;53;
261;152;53;
261;153;53;
261;154;53;
261;155;53;
261;156;53;
261;157;53;
261;158;53;
261;159;53;
261;160;53;
261;161;53;
261;162;53;
261;163;53;
261;164;53;
261;165;53;
261;166;53;
261;167;53;
261;168;53;
261;169;53;
261;170;53;
261;171;53;
261;172;53;
261;173;53;
261;174;53;
261;175;53;
262;32;53;
262;33;53;
262;34;53;
262;35;53;
262;36;53;
262;37;53;
262;38;53;
262;39;53;
262;40;53;
262;41;53;
262;42;53;
262;43;53;
262;44;53;
262;45;53;
262;46;53;
262;47;53;
262;48;53;
262;49;53;
262;50;53;
262;51;53;
262;52;53;
262;53;53;
262;54;53;
262;55;53;
262;56;53;
262;57;53;
262;58;53;
262;59;53;
262;60;53;
262;61;53;
262;62;53;
262;63;53;
262;64;53;
262;65;53;
262;66;53;
262;67;53;
262;68;53;
262;69;53;
262;70;53;
262;71;53;
262;72;53;
262;73;53;
262;74;53;
262;75;53;
262;76;53;
262;77;53;
262;78;53;
262;79;53;
262;80;53;
262;81;53;
262;82;53;
262;83;53;
262;84;53;
262;85;53;
262;86;53;
262;87;53;
262;88;53;
262;89;53;
262;90;53;
262;91;53;
262;92;53;
262;93;53;
262;94;53;
262;95;53;
262;96;53;
262;97;53;
262;98;53;
262;99;53;
262;100;53;
262;101;53;
262;102;53;
262;103;53;
262;104;53;
262;105;53;
262;106;53;
262;107;53;
262;108;53;
262;109;53;
262;110;53;
262;111;53;
262;112;53;
262;113;53;
262;114;53;
262;115;53;
262;116;53;
262;117;53;
262;118;53;
262;119;53;
262;120;53;
262;121;53;
262;122;53;
262;123;53;
262;124;53;
262;125;53;
262;126;53;
262;127;53;
262;128;53;
262;129;53;
262;130;53;
262;131;53;
262;132;53;
262;133;53;
262;134;53;
262;135;53;
262;136;53;
262;137;53;
262;138;53;
262;139;53;
262;140;53;
262;141;53;
262;142;53;
262;143;53;
262;144;53;
